urlname,mean_rsvp
blockchainpgh,38.6
Pittsburgh-WordPress-Developers-Designers,11.4
Pittsburgh-Code-Supply,10.8
Girl-Develop-It-Pittsburgh,29.6
PGH-Data-Science,71.0
ProductTank-Pittsburgh,51.6
The-Pittsburgh-Java-Meetup-Group,29.8
ISC-Pittsburgh-Chapter,32.2
PittsburghAgile,38.6
Steel-City-InfoSec,18.0
PittsburghSQL,4.2
HackPGH,4.6
codeforpgh,17.2
Pittsburgh-Power-BI-Meetup,24.6
Service-Design-Pittsburgh,13.0
Pittsburgh-useR-Group,30.2
Pittsburgh-Functional-Programming-Meetup,19.6
PGH-Game-Makers,9.0
Pgh-Tech,20.4
Pittsburgh-Business-Analysts,6.6
Pittsburgh-Artificial-Intelligence-Meetup,10.0
All-The-Nerdy-Ladies-Pittsburgh,9.5
scrumburgh,9.2
BuildGuildPittsburgh,7.0
Pittsburgh-Rust-Coffee,3.4
Pittsburgh-VR-Meetup,12.2
ONA-Pittsburgh,3.2
PGH-DEV-UX,28.0
Pittsburgh-Office-365-User-Group,15.0
Big-Data-Ingest-Pittsburgh,3.2
Pittsburgh-FileMaker,3.6
PG4NPUG,7.0
TechShopPittsburgh,5.8
CocoaHeads-Pittsburgh,4.8
Bagels-Bytes,5.8
Pittsburgh-3D-Printing-Meetup,2.0
HUG-Pittsburgh,10.2
Pittsburgh-Informatica-User-Group,28.2
Pittsburgh-JavaScript,45.0
Apex-Users-Group-Pittsburgh,3.0
pittmeshworkinggroup,6.8
Pittsburgh-Node-js,20.0
Pittsburgh-Azure-Meetup,21.2
SEMPO-Pittsburgh,18.2
Pittsburgh-Information-Technology-Meetup,5.4
Meteor-Pittsburgh,13.6
Northside-Coding-Club,1.2
Pittsburgh-PostgreSQL-Users-Group,12.8
PghQA-Pittsburgh-Software-Quality,12.0
Pittsburgh-Women-in-Big-Data,1.5
Pittsburgh-Big-Data-Meetups,8.6
Pittsburgh-PHP-Developers-Group,8.4
UXPittsburgh,34.8
Pittsburgh-Groovy-Programming,6.4
PghHWStartups,37.2
ACM-Pittsburgh,31.2
Ed-Tech-PGH,28.2
openstack-pittsburgh,12.8
trynewtech,24.0
Pittsburgh-Cassandra-Users,2.3333333333333335
Drupal-Pittsburgh,7.6
Pittsburgh-Red-Hat-User-Group,15.8
Docker-Pittsburgh,17.8
PGH-Womens-Wired-Network,13.0
pghfoodies,8.6
Health20-Pittsburgh,62.8
Big-Data-Developers-in-Pittsburgh,9.2
pittsburgh-ruby,35.0
Ansible-Pittsburgh,9.666666666666666
iPhone-iPad-Android-Mobile-App-Developers-Pittsburgh-Meetu,1.0
Angular-js-Pittsburgh,42.8
OWASP-Pittsburgh-Chapter,30.2
Facebook-Developer-and-Marketers-Group,5.0
Pittsburgh-Women-Blogger-MeetUp,2.0
Pittsburgh-Machine-Learners,18.4
cloudgenius-pittsburgh,3.0
Pittsburgh-Patent-Meetup,5.0
pghdotnet,41.8
ReactPgh,29.2
Magento-Pittsburgh,1.5
Pittsburgh-Technology-Innovation-Group,17.6
Pittsburgh-Startup-Idea-to-IPO,24.6
Pittsburgh-Unreal-Engine-4-Meetup,3.0
Startup-Grind-Pittsburgh,2.0
Pittsburgh-JavaFX-Users,6.5
PittsburghIAM,8.0
Pittsburgh-Salesforce-Developer-User-Group,28.0
Pittsburgh-Product-Engagement-Meetup,13.6
pittsburghwebdesign,3.6
Arista-Networks-Pittsburgh-Meetup,6.2
Dynatrace-Pittsburgh-User-Group,8.333333333333334
Pittsburgh-Virtual-Currency-Meetup,8.0
Pittsburgh-Cloudera-User-Group,9.333333333333334
UX-Happy-Hour-in-Pgh,16.0
Scrum-Pittsburgh-Daytime-Meetup,4.2
Pittsburgh-Motion-Design-Meetup,16.5
Pittsburgh-Vertica-Analytic-Database-Meetup,5.0
gdg-pitt,50.333333333333336
Airport-Java-Development-Meetup,9.0
Pittsburgh-Game-Dev,6.0
Pittsburgh-DevOps-Cloud-Continuous-Delivery-Meetup,20.0
Pittsburgh-Amazon-Alexa-Meetup,25.5
Beers-Debuggers,21.0
Predix-Builders-of-Pittsburgh,2.5
Pittsburgh-PMI,2.0
Reactive,9.0
Pittsburgh-Area-Accessibility-Meetup,27.4
Pittsburgh-Cloud-Natives,30.0
Pittsburgh-MongoDB-User-Group,15.8
Pittsburgh-Analytics-Meetup,43.5
PGH-VR,9.25
Pittsburgh-PA-CAD-CAM-Manufacturing-Meetup,22.8
Health-Analytics-Group,11.5
pittsburgh-seo-group,6.8
iotpgh,21.0
